2019-04-09 17:41:40,591, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 18:03:05,397, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 18:03:05,397, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.windows.x
2019-04-10 18:03:05,736, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:12,995, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.sport.baseball
2019-04-10 18:03:13,315, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:19,964, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/talk.politics.misc
2019-04-10 18:03:20,289, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:27,296, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.autos
2019-04-10 18:03:27,540, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:34,572, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.graphics
2019-04-10 18:03:34,722, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:42,373, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.os.ms-windows.misc
2019-04-10 18:03:42,616, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:49,901, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.sys.ibm.pc.hardware
2019-04-10 18:03:50,223, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:03:56,919, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.sys.mac.hardware
2019-04-10 18:03:57,228, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:04:04,151, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.sport.hockey
2019-04-10 18:04:04,391, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:04:11,381, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/talk.politics.guns
2019-04-10 18:04:11,644, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:04:18,410, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/talk.politics.mideast
2019-04-10 18:04:18,703, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:04:26,248, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.motorcycles
2019-04-10 18:04:26,465, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 18:05:58,355, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 18:21:54,488, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 21:45:26,496, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 22:01:43,787, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 22:04:05,752, Khuram, INFO, Log Initalized, Class Initalized
2019-04-10 22:04:05,752, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.windows.x
2019-04-10 22:04:05,849, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:06,013, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.sport.baseball
2019-04-10 22:04:06,097, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:06,250, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/talk.politics.misc
2019-04-10 22:04:06,333, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:06,513, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.autos
2019-04-10 22:04:06,591, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:06,853, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.graphics
2019-04-10 22:04:06,989, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:07,152, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.os.ms-windows.misc
2019-04-10 22:04:07,246, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:07,419, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.sys.ibm.pc.hardware
2019-04-10 22:04:07,510, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:07,653, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/comp.sys.mac.hardware
2019-04-10 22:04:07,840, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:08,136, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.sport.hockey
2019-04-10 22:04:08,301, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:08,550, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/talk.politics.guns
2019-04-10 22:04:08,633, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:08,795, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/talk.politics.mideast
2019-04-10 22:04:08,877, Khuram, INFO, Total of 1000 file found in directory
2019-04-10 22:04:09,118, Khuram, INFO, Checking to see how many files exist in C:\Users\Khuram\Desktop\myWork\mlProjectStevens/20_newsgroups/rec.motorcycles
2019-04-10 22:04:09,257, Khuram, INFO, Total of 1000 file found in directory
